AIANNHCE,AIANNHNAME
6165,Atqasuk ANVSA
6175,Barrow ANVSA
6190,Beaver ANVSA
6195,Belkofski ANVSA
6205,Bethel ANVSA
6225,Bill Moore's ANVSA
6235,Birch Creek ANVSA
6240,Brevig Mission ANVSA
6250,Buckland ANVSA
6255,Cantwell ANVSA
6257,Canyon Village ANVSA
6265,Chalkyitsik ANVSA
6275,Chefornak ANVSA
6280,Chenega ANVSA
6285,Chevak ANVSA
6290,Chickaloon ANVSA
6295,Chignik ANVSA
6300,Chignik Lagoon ANVSA
6305,Chignik Lake ANVSA
6310,Chilkat ANVSA
6315,Chilkoot ANVSA
6325,Chistochina ANVSA
6330,Chitina ANVSA
6335,Chuathbaluk ANVSA
6340,Chulloonawick ANVSA
6350,Circle ANVSA
6360,Clarks Point ANVSA
6365,Copper Center ANVSA
6380,Council ANVSA
6385,Craig ANVSA
6390,Crooked Creek ANVSA
6400,Deering ANVSA
6405,Dillingham ANVSA
6415,Dot Lake ANVSA
6420,Douglas ANVSA
6430,Eagle ANVSA
6440,Eek ANVSA
6445,Egegik ANVSA
6450,Eklutna ANVSA
6455,Ekuk ANVSA
6460,Ekwok ANVSA
6470,Elim ANVSA
6480,Emmonak ANVSA
6490,Evansville ANVSA
6495,Eyak ANVSA
6500,False Pass ANVSA
6515,Fort Yukon ANVSA
6520,Gakona ANVSA
6525,Galena ANVSA
6530,Gambell ANVSA
6535,Georgetown ANVSA
6540,Golovin ANVSA
6545,Goodnews Bay ANVSA
6550,Grayling ANVSA
6560,Gulkana ANVSA
6570,Hamilton ANVSA
6575,Healy Lake ANVSA
6585,Holy Cross ANVSA
6590,Hoonah ANVSA
6595,Hooper Bay ANVSA
6605,Hughes ANVSA
6610,Huslia ANVSA
6615,Hydaburg ANVSA
6620,Igiugig ANVSA
6625,Iliamna ANVSA
6630,Inalik ANVSA
6650,Ivanof Bay ANVSA
6670,Kake ANVSA
6680,Kaktovik ANVSA
6685,Kalskag ANVSA
6690,Kaltag ANVSA
6700,Karluk ANVSA
6705,Kasaan ANVSA
6710,Kasigluk ANVSA
6720,Kenaitze ANVSA
6725,Ketchikan ANVSA
6730,Kiana ANVSA
6735,King Cove ANVSA
6740,King Salmon ANVSA
6750,Kipnuk ANVSA
6755,Kivalina ANVSA
6765,Klawock ANVSA
6785,Knik ANVSA
6790,Kobuk ANVSA
6795,Kodiak ANVSA
6800,Kokhanok ANVSA
6810,Kongiganak ANVSA
6815,Kotlik ANVSA
6820,Kotzebue ANVSA
6825,Koyuk ANVSA
6830,Koyukuk ANVSA
6835,Kwethluk ANVSA
6840,Kwigillingok ANVSA
6845,Kwinhagak ANVSA
6850,Lake Minchumina ANVSA
6855,Larsen Bay ANVSA
6860,Lesnoi ANVSA
6865,Levelock ANVSA
6875,Lime Village ANVSA
